eco,tier,total_months,months_above_threshold,coverage_ratio,avg_monthly_games,is_tracked_core
A00,1,39,39,1.0,21190.15,True
A01,1,39,39,1.0,57568.46,True
A02,1,39,39,1.0,58586.92,True
A03,1,39,39,1.0,20153.15,True
A05,1,39,39,1.0,9774.05,True
A06,1,39,39,1.0,4539.49,True
A08,1,39,39,1.0,6116.85,True
A09,1,39,39,1.0,15196.28,True
A10,1,39,39,1.0,223651.21,True
A11,1,39,39,1.0,18672.15,True
A13,1,39,39,1.0,26994.85,True
A15,1,39,39,1.0,56176.08,True
A16,1,39,39,1.0,2624.05,True
A18,1,39,39,1.0,4220.1,True
A21,1,39,39,1.0,1427.03,True
A22,1,39,39,1.0,6526.36,True
A23,1,39,39,1.0,1394.18,True
A27,1,39,39,1.0,3221.62,True
A28,1,39,39,1.0,676.87,True
A29,1,39,39,1.0,1481.13,True
A30,1,39,39,1.0,27247.85,True
A31,1,39,39,1.0,5378.64,True
A36,1,39,39,1.0,1494.03,True
A39,1,39,39,1.0,1088.72,True
A41,1,39,39,1.0,10951.46,True
A42,1,39,39,1.0,11546.46,True
A43,1,39,39,1.0,7227.0,True
A44,1,39,39,1.0,5259.36,True
A45,1,39,39,1.0,19321.62,True
A48,1,39,39,1.0,38434.49,True
A49,1,39,39,1.0,6063.82,True
A51,1,39,39,1.0,17561.38,True
A52,1,39,39,1.0,10047.05,True
A53,1,39,39,1.0,18362.54,True
A55,1,39,39,1.0,957.59,True
A56,1,39,39,1.0,31307.64,True
A57,1,39,39,1.0,13902.54,True
A59,1,39,39,1.0,537.97,True
A60,1,39,39,1.0,6496.03,True
A61,1,39,39,1.0,1979.74,True
A62,1,39,39,1.0,528.26,True
A65,1,39,39,1.0,5935.54,True
A67,1,38,38,1.0,469.87,True
A68,1,39,39,1.0,523.15,True
A70,1,39,39,1.0,1641.62,True
A72,1,39,39,1.0,474.13,True
A73,1,39,39,1.0,544.1,True
A80,1,39,39,1.0,34683.74,True
A83,1,39,39,1.0,1494.26,True
A84,1,39,39,1.0,11571.46,True
A85,1,39,39,1.0,7064.9,True
A86,1,39,39,1.0,692.54,True
A87,1,32,32,1.0,454.41,True
A88,1,39,39,1.0,757.44,True
A89,1,29,29,1.0,447.93,True
A90,1,39,39,1.0,1312.31,True
A91,1,35,35,1.0,442.63,True
A95,1,39,39,1.0,551.23,True
A96,1,39,39,1.0,643.46,True
B00,1,39,39,1.0,1462.46,True
B01,1,39,39,1.0,204779.33,True
B02,1,39,39,1.0,76363.05,True
B03,1,39,39,1.0,19415.21,True
B06,1,39,39,1.0,80077.77,True
B07,1,39,39,1.0,52978.08,True
B12,1,39,39,1.0,275721.31,True
B20,1,39,39,1.0,716509.33,True
B21,1,39,39,1.0,574.28,True
B22,1,39,39,1.0,48843.69,True
B23,1,39,39,1.0,85555.15,True
B24,1,39,39,1.0,4128.38,True
B25,1,39,39,1.0,2101.05,True
B26,1,39,39,1.0,983.08,True
B28,1,39,39,1.0,11165.97,True
B29,1,39,39,1.0,3970.31,True
B30,1,39,39,1.0,1837.49,True
B31,1,39,39,1.0,7166.41,True
B32,1,39,39,1.0,17992.28,True
B33,1,39,39,1.0,9605.15,True
B34,1,39,39,1.0,2787.26,True
B35,1,39,39,1.0,3587.18,True
B36,1,39,39,1.0,4249.18,True
B37,1,39,39,1.0,4671.69,True
B38,1,39,39,1.0,4425.92,True
B39,1,39,39,1.0,493.9,True
B41,1,39,39,1.0,19108.31,True
B43,1,39,39,1.0,11732.72,True
B44,1,39,39,1.0,18717.1,True
B45,1,39,39,1.0,10241.49,True
B46,1,39,39,1.0,5024.92,True
B47,1,39,39,1.0,2974.67,True
B48,1,39,39,1.0,1430.64,True
B49,1,39,39,1.0,800.46,True
B50,1,39,39,1.0,85815.49,True
B51,1,39,39,1.0,11169.33,True
B53,1,39,39,1.0,4978.59,True
B54,1,39,39,1.0,1208.13,True
B56,1,39,39,1.0,10862.15,True
B58,1,39,39,1.0,478.33,True
B60,1,39,39,1.0,2104.77,True
B62,1,39,39,1.0,1260.44,True
B70,1,39,39,1.0,14979.95,True
B71,1,39,39,1.0,760.72,True
B72,1,39,39,1.0,6436.33,True
B73,1,39,39,1.0,577.51,True
B75,1,39,39,1.0,2172.69,True
B76,1,39,39,1.0,4612.08,True
B77,1,39,39,1.0,1775.05,True
B78,1,39,39,1.0,1296.18,True
B80,1,39,39,1.0,3836.72,True
B83,1,39,39,1.0,523.23,True
B86,1,39,39,1.0,952.08,True
B90,1,39,39,1.0,40697.72,True
B91,1,39,39,1.0,656.59,True
B92,1,39,39,1.0,5192.36,True
B93,1,39,39,1.0,876.49,True
B94,1,39,39,1.0,9767.51,True
B95,1,39,39,1.0,7178.69,True
B96,1,39,39,1.0,4733.33,True
B98,1,39,39,1.0,2997.44,True
B99,1,39,39,1.0,1231.44,True
C00,1,39,39,1.0,312194.79,True
C01,1,39,39,1.0,43709.31,True
C02,1,39,39,1.0,45202.77,True
C03,1,39,39,1.0,27907.08,True
C04,1,39,39,1.0,501.28,True
C06,1,39,39,1.0,1471.62,True
C07,1,39,39,1.0,938.18,True
C08,1,39,39,1.0,1405.03,True
C09,1,39,39,1.0,622.62,True
C10,1,39,39,1.0,813.72,True
C11,1,39,39,1.0,24759.54,True
C12,1,39,39,1.0,1668.69,True
C13,1,39,39,1.0,2218.03,True
C16,1,39,39,1.0,8374.13,True
C17,1,39,39,1.0,6572.64,True
C18,1,39,39,1.0,3612.0,True
C20,1,39,39,1.0,53924.08,True
C21,1,39,39,1.0,6421.62,True
C22,1,39,39,1.0,1717.13,True
C23,1,39,39,1.0,35394.87,True
C24,1,39,39,1.0,13555.18,True
C25,1,39,39,1.0,4709.03,True
C27,1,39,39,1.0,612.08,True
C28,1,39,39,1.0,615.95,True
C30,1,39,39,1.0,53924.08,True
C31,1,39,39,1.0,11656.82,True
C33,1,39,39,1.0,22276.79,True
C34,1,39,39,1.0,935.92,True
C35,1,39,39,1.0,2111.69,True
C36,1,39,39,1.0,2507.56,True
C40,1,39,39,1.0,14019.64,True
C41,1,39,39,1.0,41350.21,True
C42,1,39,39,1.0,44143.26,True
C43,1,39,39,1.0,1432.56,True
C44,1,39,39,1.0,565817.49,True
C45,1,39,39,1.0,27691.92,True
C46,1,39,39,1.0,24796.54,True
C47,1,39,39,1.0,26271.15,True
C48,1,39,39,1.0,7833.85,True
C50,1,39,39,1.0,110592.15,True
C51,1,39,39,1.0,6188.77,True
C54,1,39,39,1.0,9546.62,True
C55,1,39,39,1.0,45611.13,True
C56,1,39,39,1.0,4938.92,True
C58,1,39,39,1.0,1172.56,True
C60,1,39,39,1.0,85207.77,True
C61,1,39,39,1.0,2812.51,True
C62,1,39,39,1.0,9473.23,True
C63,1,39,39,1.0,5084.15,True
C65,1,39,39,1.0,14491.08,True
C68,1,39,39,1.0,7488.05,True
C69,1,39,39,1.0,570.51,True
C71,1,39,39,1.0,2411.26,True
C74,1,39,39,1.0,690.44,True
C77,1,39,39,1.0,5225.67,True
C79,1,39,39,1.0,875.74,True
C84,1,39,39,1.0,6111.36,True
C88,1,39,39,1.0,6532.44,True
C89,1,39,39,1.0,1916.95,True
C90,1,39,39,1.0,1890.59,True
C92,1,39,39,1.0,2048.51,True
C97,1,39,39,1.0,1036.36,True
D00,1,39,39,1.0,26349.1,True
D01,1,39,39,1.0,13938.85,True
D03,1,39,39,1.0,7328.72,True
D04,1,39,39,1.0,17130.67,True
D05,1,39,39,1.0,11707.33,True
D06,1,39,39,1.0,195143.56,True
D07,1,39,39,1.0,4931.26,True
D08,1,39,39,1.0,10068.59,True
D09,1,39,39,1.0,1105.77,True
D10,1,39,39,1.0,80491.13,True
D11,1,38,38,1.0,539.5,True
D13,1,39,39,1.0,3384.95,True
D14,1,39,39,1.0,855.79,True
D15,1,37,37,1.0,507.0,True
D16,1,39,39,1.0,3097.44,True
D17,1,39,39,1.0,1969.74,True
D18,1,39,39,1.0,1033.95,True
D20,1,39,39,1.0,22003.92,True
D23,1,39,39,1.0,4126.31,True
D24,1,39,39,1.0,1144.41,True
D26,1,39,39,1.0,902.79,True
D27,1,39,39,1.0,546.36,True
D30,1,39,39,1.0,97189.28,True
D32,1,39,39,1.0,1431.21,True
D35,1,39,39,1.0,14547.0,True
D36,1,39,39,1.0,1210.79,True
D37,1,39,39,1.0,1891.15,True
D38,1,39,39,1.0,8111.95,True
D40,1,39,39,1.0,4030.21,True
D43,1,39,39,1.0,26337.54,True
D44,1,39,39,1.0,1391.03,True
D46,1,31,31,1.0,477.61,True
D47,1,39,39,1.0,886.0,True
D52,1,39,39,1.0,4582.97,True
D53,1,39,39,1.0,12047.03,True
D58,1,39,39,1.0,1123.95,True
D60,1,39,39,1.0,2409.0,True
D66,1,39,39,1.0,649.31,True
D70,1,39,39,1.0,16824.74,True
D77,1,39,39,1.0,2768.49,True
D78,1,39,39,1.0,3543.38,True
D79,1,39,39,1.0,874.41,True
D80,1,39,39,1.0,16824.74,True
D82,1,39,39,1.0,920.82,True
D83,1,39,39,1.0,530.62,True
D85,1,39,39,1.0,8199.1,True
D86,1,39,39,1.0,2284.95,True
D88,1,38,38,1.0,485.18,True
D91,1,39,39,1.0,1850.15,True
D92,1,39,39,1.0,1219.82,True
D93,1,39,39,1.0,1188.82,True
D96,1,39,39,1.0,662.46,True
E00,1,39,39,1.0,4201.54,True
E01,1,39,39,1.0,3143.03,True
E04,1,39,39,1.0,1476.33,True
E06,1,39,39,1.0,5524.26,True
E07,1,39,39,1.0,738.21,True
E11,1,39,39,1.0,5594.44,True
E12,1,39,39,1.0,6644.54,True
E16,1,39,39,1.0,744.64,True
E20,1,39,39,1.0,28223.23,True
E21,1,39,39,1.0,5125.79,True
E22,1,39,39,1.0,1359.33,True
E24,1,39,39,1.0,1855.49,True
E30,1,39,39,1.0,3235.46,True
E32,1,39,39,1.0,6825.9,True
E38,1,39,39,1.0,1659.26,True
E40,1,39,39,1.0,4510.82,True
E41,1,39,39,1.0,887.87,True
E43,1,39,39,1.0,742.44,True
E46,1,39,39,1.0,1770.59,True
E47,1,39,39,1.0,946.64,True
E48,1,39,39,1.0,553.18,True
E50,1,33,33,1.0,517.15,True
E51,1,39,39,1.0,1132.36,True
E60,1,39,39,1.0,39039.62,True
E61,1,39,39,1.0,54764.15,True
E62,1,39,39,1.0,1543.87,True
E63,1,39,39,1.0,765.44,True
E65,1,39,39,1.0,1470.05,True
E66,1,27,27,1.0,440.0,True
E67,1,39,39,1.0,1956.05,True
E68,1,39,39,1.0,816.26,True
E69,1,39,39,1.0,545.0,True
E70,1,39,39,1.0,1134.54,True
E71,1,39,39,1.0,1139.49,True
E73,1,39,39,1.0,1309.85,True
E76,1,39,39,1.0,6423.38,True
E80,1,39,39,1.0,8722.26,True
E81,1,39,39,1.0,723.08,True
E85,1,39,39,1.0,1786.44,True
E90,1,39,39,1.0,666.54,True
E91,1,39,39,1.0,583.08,True
E92,1,39,39,1.0,635.33,True
E94,1,39,39,1.0,2471.15,True
E97,1,39,39,1.0,2898.59,True
E98,1,39,39,1.0,1108.74,True
